// for mobs
// mob_id,sprite_id,equip #
// Use another mob's sprite for a monster.  0 for sprite will disable mob.
// Mob must have an equipment it's pet counterpart can use or it will cause problems.  If no equip use 0.
// The following if a player sprite is used
// MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
// Use Item ID for weapons and shields, not View ID.

//1002,1039	//Poring,Baphomet (Make Porings look like Baphomet)
//1970,1002,10013	// new mob that looks like a Poring with a backpack

// Easter Event Monsters
//1920,1047,0
//1921,1093,0

// eAthena Dev Team
// Valaris
//1900,4013,1,1,1,1254,0,67,12,54,16,1
// Valaris Worshiper
//1901,6,1,1,1,1219,2101,67,12,54,0,1
// MC Cameri
//1902,14,1,6,6,1101,2105,0,0,0,32,3
// Poki#3
//1903,4012,1,21,0,1720,0,102,184,57,16,0
// Sentry
//1904,1286,0

// iRO Halloween Event 2008
//3000,1015,0
//3001,1036,0
//3002,1298,0

// iRO Halloween Event 2009
//3014,1179,0
//3015,1272,0

// The Invasor (v10) [Ivion]
2500,1833
2501,1831
2502,1832
2503,1894
2504,2016
2505,1112
2506,1777
2507,1252
2508,1779
2509,1991
2510,1885
2511,1957
2512,1919
2513,1785
2514,1916
2515,1978
2516,1623
2517,1685
2518,1618
2519,2087
2520,1147
2521,1987
2522,1871
2523,1874
2524,1262
2525,1720
2526,2022
2527,1704
2528,1921
2529,1768
2530,1992
2531,1918
2532,1931
2533,1870
2534,1038
2535,1373
2536,1920
2537,1389
2538,1929
2539,1702
2540,1268
2541,2018
2542,1518
2543,1492
2544,1418

// The Invasor (v10) [Ivion]
2500,1833
2501,1831
2502,1832
2503,1894
2504,2016
2505,1112
2506,1777
2507,1252
2508,1779
2509,1991
2510,1885
2511,1957
2512,1919
2513,1785
2514,1916
2515,1978
2516,1623
2517,1685
2518,1618
2519,2087
2520,1147
2521,1987
2522,1871
2523,1874
2524,1262
2525,1720
2526,2022
2527,1704
2528,1921
2529,1768
2530,1992
2531,1918
2532,1931
2533,1870
2534,1038
2535,1373
2536,1920
2537,1389
2538,1929
2539,1702
2540,1268
2541,2018
2542,1518
2543,1492
2544,1418
2999,1288

// devil square
2545,1028
2546,1189
2547,1165
2548,1016
2549,1149
2550,1207
2551,1785

2552,1253
2553,1297
2554,1163
2555,1257
2556,1191
2557,1291
2558,1272

2559,1206
2560,1208
2561,1276
2562,1131
2563,1115
2564,1252
2565,1312

2011,1907,0
2012,1586,0
2100,1623,0
2101,1768,0
2102,1751,0
2103,1252,0
2104,1916,0

2105,1907,0
2106,1908,0
2107,1288,0
